snapshot_timestamp,snapshot_date,snapshot_time,snapshot_hour,snapshot_minute,video_id,video_title,published_at,published_date,published_hour,hours_since_published,days_since_published,current_views,current_likes,current_comments,views_per_hour,views_per_day,duration,url,engagement_rate,like_rate,comment_rate,momentum_score,engagement_per_hour
2025-06-20T18:52:29.417100,2025-06-20,18:52:29,18,,_Sme5_9u_sk,Fleetway Super Sonic Vs Sonic EXE!!,2025-06-17T15:01:01+00:00,,15,82.86,3.5,19724,436,9,238.05,,8:22,https://www.youtube.com/watch?v=_Sme5_9u_sk,2.26,2.21,0.05,53.46,5.37
2025-06-20T18:52:29.417100,2025-06-20,18:52:29,18,,dLkWKcSfcss,Sonic Stunts IN REAL LIFE!!,2025-06-18T15:01:07+00:00,,15,58.86,2.5,32794,1067,10,557.19,,8:36,https://www.youtube.com/watch?v=dLkWKcSfcss,3.28,3.25,0.03,161.39,18.3
2025-06-20T18:52:29.417100,2025-06-20,18:52:29,18,,iynCh82AFX4,Super Sonic.EXE VS Dark Sonic!!,2025-06-16T15:01:13+00:00,,15,106.85,4.5,46106,1321,30,431.48,,9:38,https://www.youtube.com/watch?v=iynCh82AFX4,2.93,2.87,0.07,79.14,12.64
2025-06-20T18:52:29.417100,2025-06-20,18:52:29,18,,xXqlfaa5Faw,Dark Sonic VS The World!!,2025-06-20T11:01:58+00:00,,11,14.84,0.6,15168,553,18,1021.96,,9:40,https://www.youtube.com/watch?v=xXqlfaa5Faw,3.76,3.65,0.12,631.46,38.47
2025-06-22T07:30:49.093426,2025-06-22,07:30:49,7,,1rPQFtnG-h4,Sonic Destroys Tung Tung Tung Sahur!,2025-05-31T21:06:36+00:00,,21,521.4,21.7,12058,728,16,23.13,,0:21,https://www.youtube.com/watch?v=1rPQFtnG-h4,6.17,6.04,0.13,1.02,1.43
2025-06-22T07:30:49.093426,2025-06-22,07:30:49,7,,JLfzONH8qyI,Sonic and Shadow Vs Giant Shredder!!,2025-06-21T11:00:38+00:00,,11,27.5,1.1,18609,413,5,676.62,,9:27,https://www.youtube.com/watch?v=JLfzONH8qyI,2.25,2.22,0.03,315.3,15.2
2025-06-22T07:30:49.093426,2025-06-22,07:30:49,7,,SKJpIJWZdDE,Shadow Slaps Italian Brainrot Tung Tung Tung Sahur To The Moon!,2025-06-01T21:08:12+00:00,,21,497.38,20.7,7870,429,8,15.82,,0:23,https://www.youtube.com/watch?v=SKJpIJWZdDE,5.55,5.45,0.1,0.73,0.88
2025-06-22T07:30:49.093426,2025-06-22,07:30:49,7,,WC9C4uqgnak,Hyper Sonic Vs Dark Shadow!!,2025-06-19T12:53:07+00:00,,12,73.63,3.1,54200,1380,15,736.13,,9:10,https://www.youtube.com/watch?v=WC9C4uqgnak,2.57,2.55,0.03,180.96,18.95
2025-06-22T07:30:49.093426,2025-06-22,07:30:49,7,,XaI0rDckzDU,Sonic VS Shadow Power Levels,2025-06-22T11:00:59+00:00,,11,3.5,0.1,1039,94,7,297.09,,9:04,https://www.youtube.com/watch?v=XaI0rDckzDU,9.72,9.05,0.67,259.31,28.88
2025-06-22T07:30:49.093426,2025-06-22,07:30:49,7,,_Sme5_9u_sk,Fleetway Super Sonic Vs Sonic EXE!!,2025-06-17T15:01:01+00:00,,15,119.5,5.0,33534,669,11,280.63,,8:22,https://www.youtube.com/watch?v=_Sme5_9u_sk,2.03,1.99,0.03,46.94,5.69
2025-06-22T07:30:49.093426,2025-06-22,07:30:49,7,,dLkWKcSfcss,Sonic Stunts IN REAL LIFE!!,2025-06-18T15:01:07+00:00,,15,95.5,4.0,53728,1512,13,562.63,,8:36,https://www.youtube.com/watch?v=dLkWKcSfcss,2.84,2.81,0.02,113.0,15.97
2025-06-22T07:30:49.093426,2025-06-22,07:30:49,7,,iynCh82AFX4,Super Sonic.EXE VS Dark Sonic!!,2025-06-16T15:01:13+00:00,,15,143.49,6.0,70380,1826,41,490.48,,9:38,https://www.youtube.com/watch?v=iynCh82AFX4,2.65,2.59,0.06,70.28,13.01
2025-06-22T07:30:49.093426,2025-06-22,07:30:49,7,,xXqlfaa5Faw,Dark Sonic VS The World!!,2025-06-20T11:01:58+00:00,,11,51.48,2.1,50411,1459,31,979.22,,9:40,https://www.youtube.com/watch?v=xXqlfaa5Faw,2.96,2.89,0.06,311.35,28.94
2025-07-04T09:14:58.171040,2025-07-04,09:14:58,9,,1oYaNQV7100,Sonic and Shadow Race EVERYONE!!,2025-07-04T13:00:06+00:00,,13,3.25,0.1,460,29,2,141.63,,8:21,https://www.youtube.com/watch?v=1oYaNQV7100,6.74,6.3,0.43,124.75,9.54
2025-07-04T09:14:58.171040,2025-07-04,09:14:58,9,,1rPQFtnG-h4,Sonic Destroys Tung Tung Tung Sahur!,2025-05-31T21:06:36+00:00,,21,811.14,33.8,14503,933,18,17.88,,0:21,https://www.youtube.com/watch?v=1rPQFtnG-h4,6.56,6.43,0.12,0.51,1.17
2025-07-04T09:14:58.171040,2025-07-04,09:14:58,9,,2kvBq8C4468,The MOST Satisfying Sonic and Shadow Magnet Art!!,2025-07-02T13:00:10+00:00,,13,51.25,2.1,2394,116,4,46.72,,8:26,https://www.youtube.com/watch?v=2kvBq8C4468,5.01,4.85,0.17,14.9,2.34
